365-gratitude-diary-journal-grateful	365 gratitude is a gratitude journal app that encourages users to create positive habits through gratitude and positive thinking. the app offers a variety of tools including daily gratitude journals, engaging stories, meditations, ai chatbot and a community forum. the home screen shows the date, and what day the user is on out of the 365 (starting from the first day of installation and use). the homepage also teaches users a specific principle of gratitude and has a quote each day that is oriented around gratitude. some features only available in paid version of the app.
anxietycoach	anxietycoach is an app that was developed to help users reduce fear, worries and anxiety. created by mayo clinic, this app offers multiple features for addressing anxiety. ‘learn’ provides educational information about anxiety and its treatment and a ‘checkup’ section to help with tracking symptoms over time. the ‘to do list’ guides the user through making a list of feared activities and then completing the tasks. finally the ‘messages and alerts’ section alerts the user when there are new tasks to complete.
anxietypanic-tracker	anxiety/panic tracker is a web-based program designed to allow users to track the signs and symptoms of anxiety and panic over time. it is hosted by 
aspire	“aspire” is part of the 
beating-bipolar	beating bipolar is web-based program designed to help users increase their awareness of bipolar illness in their daily life. beating bipolar provides basic information about bipolar, various treatment approaches, and living with the illness over the long-term. this is broken down into 8 educational modules: what is bipolar disorder; what causes bipolar disorder; medication; lifestyle; relapse prevention and early intervention; psychological approaches; partners, families and carers; and women and bipolar disorder. it also includes videos of clinicians and individuals living with bipolar, as well as a forum moderated by a professional. while beating bipolar does not provide treatment on its own, it can be a useful starting point for individuals who have recently been diagnosed with bipolar disorder to learn about the illness.
beating-the-blues	beating the blues is an online cognitive behavioral therapy (cbt) based program aimed to help users manage their mild to moderate anxiety and depression. beating the blues is an 8-12 week program and includes of 8 sessions with each session having 3-4 modules that take 10-15 minutes each. in each of these modules, users can expect a combination of both cognitive and behavioral components such as having assigned reading material, hands-on activities, projects, and more. beating the blues can be purchased online for £59.95 through their website.
brainhq	brainhq is a cognitive training web platform with mobile apps available for apple and android devices. brainhq is comprised of 29 exercises, which target six areas of cognition: memory, attention, speed, people skills, navigation, and intelligence. the program’s exercises aim to address each category and adapt to users’ skill levels. brainhq provides users with feedback about their progress and allows them to keep track of their scores over time and in comparison to other users.
calm	calm is an app for mindful meditation. the home page shows a relaxing nature scene which can be customized to the user’s preference. sections on the home page are: music, meditation and sleep. the free trial version offers one meditation session per day, from 2 to 30 minutes in length, and focused music tracks set to scenic photos. purchase of a subscription provides users with unlimited access to focused meditation programs, sleep stories, and customization options. additional features include daily reminders to meditate and tracking of user meditation statistics.
cbt-app	the cbt app is an apple™ app that offers skills and information to assist with a variety of mood and anxiety disorders. based on the principles of cbt, the cbt app contains five modules that each include straightforward instructions, supporting information, and suggestions for further practice. the app also allows users to create a graph of their moods over time. users can also share their graphs and progress with a therapist or other clinician, and the app may be a useful add-on to one of these more traditional treatments. the cbt app may be an easy way for users to gain basic knowledge about cbt-based skills, which can be helpful in managing troublesome symptoms.
cbt-i-coach	cbt-i coach is designed for those who are experiencing symptoms of insomnia and would like to improve their sleep habits. it is also suitable for people already engaging in cognitive behavioral therapy for insomnia (cbt-i) with a health provider, the app provides education about cbt-i and healthy sleep habits while the “my tools” page includes tips and activities the user can do to improve their sleep. the main tool is “my sleep” where users can enter their sleep and wake times to the “sleep diary” and see their progress over time.
clintouch	clintouch is an app for mobile devices that helps users keep track of their psychotic symptoms. by asking users to rate their experience several times a day, clintouch provides real-time illness management solutions. users have the opportunity to draw connections between triggers and symptoms, as well as get assistance in remembering to take medications. clintouch also tracks users over time so that early signs of relapse can be recognized sooner, enabling them to seek additional support and intervention.
cognifit	cognifit is a cognitive training program intended to help users improve brain functioning. by playing specially created games, users can address many core cognitive functions, including working memory, visual processing, speed, and attention. the user is prompted to complete an initial 10-minute cognitive assessment, customizable for each user and their goals. training programs range from targeting dyslexia, insomnia or driving skills. cognifit allows users to track progress over time and compare scores with those of other users. it is intended to provide diverse programs suited for many users, not just those looking for remediation of cognitive difficulties.
cognitive-enhancement-therapy	cognitive enhancement therapy (cet) is a holistic, integrated program for treating the cognitive and psycho-social impairments found in chronic psychotic conditions. along with coaching and group treatment experiences, cet includes a computer-based cognitive training module designed to improve core cognitive functioning in areas of attention, memory, and problem solving. since cet is an integrated treatment approach, each piece is intended to complement the other treatment modalities. the cet manual can be bought for $50.00 plus $4.50 for shipping and handling. additional materials can be bought for $25.00 which includes session agendas, participant handouts, exercises and assessments.
